a2004_abbrev_org,a2004_name_org,a2004_date de création,a2004_GPS_siege,a2004_longitude_siege,a2004_point_palladio,a2004_latitude_siege,a2004_nom_siege,a2004_members,a2004_population_org,a2004_soldats_org,a2004_mortsGuerre_org,a2004_depensesMilitairesPIB_org,a2004_exportations_org,a2004_importations_org,a2004_superficie_org,a2011_members,a2011_population_org,a2011_soldats_org,a2011_mortsGuerre_org,a2011_depensesMilitairesPIB_org,a2011_exportations_org,a2011_importations_org,a2011_superficie_org,a2018_members,a2018_population_org,a2018_soldats_org,a2018_mortsGuerre_org,a2018_depensesMilitairesPIB_org,a2018_exportations_org,a2018_importations_org,a2018_superficie_org
FZ,Franc Zone,1945-12-20,,,,,,"Guinea-Bissa\Togo\Senegal\Wallis and Futuna\Congo\Republic of the\French Polynesia\u""Cote dIvoire""\Benin\Cameroon\Burkina Faso\Central African Republic\New Caledonia\Mali\Chad\Niger\Equatorial Guinea\Gabon\Comoros",114636065,157000,101,14.515046806919038,3712.8469331499996,2887.3218319999996,2.677760188E12,"Guinea-Bissa\Burkina Faso\Congo\Republic Of The\Gabon\Senegal\France\Benin\Cameroon\Togo\Central African Republic\Chad\Niger\Mali\Equatorial Guinea\u""Cote DIvoire""\Comoros",207237922,479470,189,22.314010154874644,8664.682924100001,7704.4990986,7079986.0,Cameroon\Burkina Faso\France\Benin\Togo\Cote dIvoire\Central African Republic\Mali\Niger\Chad\Equatorial Guinea\Senegal\Gabon\Comoros\Congo,151056274,489000,1588,22.03861306228477,7041.84688449,7087.795301900001,7038600.0
G-2,Group of 2,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,United States\Japan,391925981,1620000,0,4.086704415472492,367.0705086,404.671643,9750445.0
G-3,Group of 3,1990-10-01,,,,,,Colombia\Venezuela,67328162,336000,1234,3.46501517406307,124.3818666,145.1289162,2.05096E9,Mexico\Colombia,158449769,769974,202,3.620978704965524,646.47179,671.2061383,3103285.0,Colombia\Venezuela\Mexico,154568811,817000,142,3.711444081426112,591.1675067,709.5541641,4023510.0
G-5,Group of 5,1985-09-22,,,,,,,0,0,0,0.0,0.0,0.0,0.0,Japan\France\United States\Germany\United Kingdom,649190153,2474086,0,11.389678237116158,989.5634503,1066.2682382,1.1356722E7,France\United States\Germany\Japan\United Kingdom,592269521,2255000,4,9.396621352585813,999.6366190000001,1056.9393949,1.0899205E7
G-6,Group of 6,1984-05-22,,,,,,Argentina,39144753,102000,0,0.883295358833529,131.2619111,89.2311362,2.76689E9,,0,0,0,0.0,0.0,0.0,0.0,Argentina\Tanzania\India\Sweden\Mexico\Greece,1131051171,3676000,818,8.452538697132757,2341.5611828,2528.1295534,9554024.0
G-7,Group of 7,1985-09-22,,,,,,,0,0,0,0.0,0.0,0.0,0.0,Canada\Japan\France\United States\Italy\Germany\United Kingdom,744237546,2907336,0,14.071898350471319,1370.2806397,1489.7210295,2.1642732E7,Canada\France\United States\Italy\Germany\Japan\United Kingdom,678550466,2674000,4,11.98195289220332,1389.8053569,1458.9292158,2.1176575E7
G-8,Group of 8,1975-10-01,,,,,,,0,0,0,0.0,0.0,0.0,0.0,Canada\Japan\European Union\France\Russia\United States\Italy\Germany\United Kingdom,1375364782,5077666,0,15.687317986861899,1370.2806397,1489.7210295,4.3065756E7,Canada\France\United States\Russia\Italy\Germany\Japan\United Kingdom,826728953,2674000,4,11.98195289220332,1389.8053569,1458.9292158,3.8251775E7
G-9,Group of 9,,,,,,,,0,0,0,0.0,0.0,0.0,0.0,Finland\Romania\Sweden\Austria\Belgium\Denmark\Hungary\Serbia,77717791,338000,0,10.23468391118217,2809.1049021,2663.3583294000005,1354826.0,Finland\Bulgaria\Romania\Sweden\Austria\Hungary\Belgium\Denmark\Serbia,85101100,352000,3,11.895487968453057,4101.4409901,3609.3324666000003,1463338.0
G-10,Group of 10,1962-10-01,,,,,,Sweden\Belgium\Switzerland\Netherlands\United Kingdom,103374450,325600,0,7.153386350453642,733.4696368,722.1470963999999,8.08128E8,Canada\Japan\European Union\France\United States\Sweden\Belgium\Switzerland\Italy\Netherlands\Germany\United Kingdom,1280632063,5199416,0,19.85198050275765,2417.088177,2522.2335513000003,2.6531157E7,Canada\Netherlands\France\United States\Sweden\Belgium\Switzerland\Italy\Germany\Japan\United Kingdom,720396755,2798000,7,15.8678224611413,2140.3193182,2243.2636611,2.1735669E7
G-11,Group of 11,1984-06-22,,,,,,,0,0,0,0.0,0.0,0.0,0.0,Pakistan\Ecuador\El Salvador\Jordan\Georgia\Morocco\Croatia\Tunisia\Indonesia\Sri Lanka\Honduras\Paraguay,548096912,2440383,2863,28.19199065160685,4002.5348658000007,5177.6195109,4415514.0,Brazil\Argentina\Bolivia\Uruguay\Per\Dominican Republic\Ecuador\Chile\Colombia\Venezuela\Mexico,420719069,2137000,142,15.683327347200951,4043.3886251,3919.3640247000003,1.8951625E7
G-15,Group of 15,,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva,Argentina\Senegal\Jamaica\Kenya\Per\Malaysia\Brazil\Nigeria\Algeria\Chile\Venezuela\Indonesia\Zimbabwe\Sri Lanka,801153560,2590000,1460,22.941703760211645,1854.63185523,1781.4195731999996,2.1033794E10,Argentina\Senegal\Jamaica\India\Kenya\Per\Malaysia\Brazil\Nigeria\Iran\Algeria\Chile\Mexico\Venezuela\Indonesia\Zimbabwe\Sri Lanka\Egypt,2336344423,5704210,1051,24.556112081745358,5333.6318037,6118.346108999998,2.89343E7,Brazil\Argentina\Jamaica\India\Per\Indonesia\Malaysia\Nigeria\Algeria\Venezuela\Senegal\Zimbabwe\Mexico\Egypt,1737925422,5778000,2049,19.328861212213734,4181.7724226,5049.8731042,2.5890176E7
G-19,Group of 19,1975-10-01,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,Brazil\Argentina\Cameroon\Saudi Arabia\Jamaica\Pakistan\India\Per\Indonesia\Nigeria\Iran\Algeria\Zaire\Iraq\Venezuela\Zambia\Mexico\Egypt,2003718908,7009000,4276,32.49918530386369,5635.8489564,6935.675142800001,3.339671E7
G-24,Group of 24,1972-01-01,,,,,,"Ethiopia\Argentina\Guatemala\Per\u""Cote dIvoire""\Ghana\South Africa\Brazil\Congo\Democratic Republic of the\Nigeria\Iran\Algeria\Lebanon\Colombia\Venezuela\Trinidad and Tobago\Philippines\Syria\Sri Lanka\Gabon",908165588,2548000,2195,28.836165534290963,2559.3203384,2456.7753576000005,1.672117787E12,"Ethiopia\Argentina\Guatemala\Pakistan\Gabon\India\Congo\Democratic Republic Of The\Per\China\Ghana\South Africa\Brazil\Nigeria\Iran\Algeria\Mexico\Philippines\Lebanon\Colombia\Venezuela\u""Cote DIvoire""\Sri Lanka\Syria\Egypt\Trinidad And Tobago",3948242169,9549886,4588,34.44520251340873,9003.4498154,8868.3748304,4.2403419E7,Brazil\Ethiopia\Argentina\Guatemala\Pakistan\India\Per\Ghana\Cote dIvoire\Nigeria\Iran\Algeria\Zaire\Lebanon\Colombia\Venezuela\Gabon\Philippines\Trinidad and Tobago\Syria\Mexico\Egypt\Sri Lanka,1982847277,7094000,2795,32.54134780796963,7093.128660599999,8459.0659685,3.1610256E7
G-77,Group of 77,1967-10-01,POINT(-73.968055555 40.749444444),-73.968055555,"40.749444444, -73.968055555",40.749444444,Q11297,"East Timor\Sao Tome and Principe\Guinea-Bissa\Cambodia\Ethiopia\Swaziland\Argentina\Bolivia\Bahamas\The\Turkmenistan\Bahrain\Saudi Arabia\Rwanda\Togo\Cape Verde\Guatemala\Bosnia and Herzegovina\Kuwait\Jordan\Dominica\Liberia\Maldives\Micronesia\Federated States of\Oman\Tanzania\Senegal\Yemen\Jamaica\Congo\Republic of the\United Arab Emirates\Nicaragua\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Afghanistan\Bangladesh\Mauritania\Solomon Islands\Somalia\Per\Laos\Seychelles\u""Cote dIvoire""\Benin\Cuba\Cameroon\Saint Kitts and Nevis\Burkina Faso\Dominican Republic\Ghana\Tonga\Libya\Central African Republic\Mauritius\Mali\Angola\Chad\South Africa\Qatar\Malaysia\Barbados\Uganda\Niger\Brazil\Guinea\Panama\Congo\Democratic Republic of the\Costa Rica\Pala\Nigeria\Ecuador\Brunei\Iran\Algeria\El Salvador\Marshall Islands\Chile\Haiti\Belize\Sierra Leone\Namibia\Morocco\Mongolia\Thailand\Grenada\Korea\North\Iraq\Uruguay\Lebanon\Djibouti\Antigua and Barbuda\Colombia\Burundi\Fiji\Madagascar\Bhutan\Sudan\Vanuat\Suriname\Venezuela\Indonesia\Zambia\Samoa\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Philippines\Eritrea\Paraguay\Guyana\Syria\Nepal\Burma\Honduras\Equatorial Guinea\Singapore\Botswana\Gambia\The\Sri Lanka\Gabon\Comoros",2145021510,6950280,15614,177.12245401934345,17900.921511810004,16358.82929653,4.378118204E12,"Micronesia\Federated States Of\Guinea-Bissa\Cambodia\Ethiopia\Swaziland\Argentina\Bolivia\Bahamas\The\Burkina Faso\Turkmenistan\Bahrain\Saudi Arabia\Rwanda\Congo\Republic Of The\Cape Verde\Guatemala\Kuwait\Dominica\Liberia\Maldives\Pakistan\Oman\Vietnam\Saint Kitts And Nevis\Gabon\Senegal\Yemen\Jamaica\Samoa\United Arab Emirates\Uruguay\India\Madagascar\Lesotho\Saint Vincent And The Grenadines\Kenya\Tajikistan\Afghanistan\Bangladesh\Mauritania\Solomon Islands\Saint Lucia\Congo\Democratic Republic Of The\Tonga\Somalia\Per\Laos\Seychelles\Malawi\Benin\Cuba\Cameroon\Togo\China\Dominican Republic\Ghana\Libya\Central African Republic\Mauritius\Antigua And Barbuda\Angola\Chad\South Africa\Qatar\Malaysia\Uganda\Niger\Brazil\Guinea\Panama\Mali\Costa Rica\Nigeria\Ecuador\Brunei\Iran\Algeria\El Salvador\Jordan\Marshall Islands\Chile\Haiti\Belize\Sierra Leone\Philippines\Sao Tome And Principe\Morocco\Mongolia\Thailand\Grenada\Korea\North\Iraq\Equatorial Guinea\Lebanon\Tunisia\Djibouti\Timor-Leste\Colombia\Burundi\Fiji\Barbados\Bhutan\Sudan\Nepal\Bosnia And Herzegovina\Suriname\Venezuela\Indonesia\Zambia\Mozambique\Papua New Guinea\Zimbabwe\Vanuat\u""Cote DIvoire""\Eritrea\Sri Lanka\Guyana\Syria\Burma\Honduras\Egypt\Nicaragua\Singapore\Botswana\Trinidad And Tobago\Gambia\The\Paraguay\Namibia\Comoros",5297257853,15358659,20467,155.51144735910495,51589.26232491999,47129.12760389999,7.51613766E7,Brazil\Sao Tome and Principe\Cambodia\Ethiopia\Belize\Argentina\Bolivia\Cameroon\Burkina Faso\Bahrain\Saudi Arabia\Rwanda\Guatemala\Guinea\Jordan\Liberia\Paraguay\Jamaica\Oman\Tanzania\Gambia\Bahamas\Yemen\Pakistan\United Arab Emirates\Uruguay\India\Madagascar\Saint Vincent and the Grenadines\Kenya\South Korea\Afghanistan\Solomon Islands\Saint Lucia\Mongolia\Somalia\Per\Laos\Seychelles\Malawi\Benin\Singapore\Saint Kitts and Nevis\Togo\Guinea-Bissa\Antigua and Barbuda\Dominican Republic\Ghana\Tonga\Indonesia\Libya\Cote dIvoire\Central African Republic\Vietnam\Mali\Mauritius\Romania\Angola\South Africa\Nicaragua\Malaysia\Mozambique\Uganda\Niger\Kuwait\Panama\Guyana\Costa Rica\Cape Verde\Nigeria\Ecuador\Bangladesh\Brunei\Iran\Algeria\El Salvador\Zaire\Chile\Thailand\Haiti\Iraq\Sierra Leone\Namibia\Lesotho\Grenada\Chad\Equatorial Guinea\Lebanon\Tunisia\Djibouti\Timor-Leste\Dominica\Colombia\Burundi\Cyprus\Barbados\Qatar\Bhutan\Sudan\Nepal\Malta\Maldives\Suriname\Venezuela\Swaziland\Zambia\Samoa\Senegal\Papua New Guinea\Gabon\Zimbabwe\Vanuat\Philippines\Mauritania\North Korea\Trinidad and Tobago\Syria\Morocco\Honduras\Myanmar\Mexico\Egypt\Cuba\Comoros\Congo\Sri Lanka\Fiji\Botswana,3239309560,12963000,34110,163.2187095485587,54302.60579192999,52655.51028159999,6.71364986E7
GCC,Gulf Cooperation Council,1981-05-25,POINT(46.71 24.65),46.71,"24.65, 46.71",24.65,Riyadh,Bahrain\Saudi Arabia\Kuwait\Oman\United Arab Emirates\Qatar,34998743,363000,58,33.984092681788006,893.1802864,1054.4946319,2.285844E9,Bahrain\Saudi Arabia\Kuwait\Oman\United Arab Emirates\Qatar,38966675,400860,0,27.15010296510089,3321.8876454,2871.9726736000002,2572954.0,Bahrain\Saudi Arabia\Oman\United Arab Emirates\Kuwait\Qatar,27740793,428000,11,25.59703579481768,2819.2425684,3449.6867654,2278063.0
IADB,Inter-American Development Bank,1959-04-08,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C.",Argentina\Bolivia\Bahamas\The\Guatemala\Jamaica\Nicaragua\Per\Norway\Dominican Republic\Finland\Sweden\Barbados\Brazil\Panama\Costa Rica\Ecuador\El Salvador\Chile\Belgium\Haiti\Belize\Denmark\Croatia\Switzerland\Portugal\Uruguay\Spain\Colombia\Netherlands\Suriname\Venezuela\Trinidad and Tobago\Paraguay\Guyana\Honduras\United Kingdom,601650115,2450260,1441,41.93668995213769,4992.56495957,4718.25108869,2.0513387E10,Canada\Argentina\Bolivia\Bahamas\The\Japan\Guatemala\Jamaica\Uruguay\France\Per\Norway\China\Dominican Republic\Finland\United States\Sweden\Austria\Brazil\Panama\Costa Rica\Ecuador\Slovenia\El Salvador\Chile\Belgium\Haiti\Belize\Mexico\Denmark\Croatia\Switzerland\Portugal\Korea\South\Spain\Colombia\Barbados\Italy\Netherlands\Suriname\Venezuela\Israel\Germany\Guyana\Honduras\Nicaragua\United Kingdom\Trinidad And Tobago\Paraguay,2848877508,8844403,258,62.115882710307034,15357.9624187,13889.361007199994,5.3711618E7,Canada\Brazil\Belize\Argentina\Bolivia\Slovenia\Guatemala\Spain\Netherlands\Paraguay\Jamaica\Bahamas\Uruguay\France\Per\Norway\Dominican Republic\Finland\United States\Portugal\Nicaragua\Sweden\Austria\Panama\Guyana\Costa Rica\Ecuador\El Salvador\Chile\Belgium\Haiti\Denmark\Croatia\Switzerland\Colombia\Barbados\Italy\Suriname\Venezuela\Israel\Germany\Trinidad and Tobago\Japan\Honduras\Mexico\United Kingdom,1276391385,5669000,207,56.0375152332777,14003.937553200003,13216.511900399999,4.3536863E7
IGADD,Inter-Governmental Authority on Drought and Development,1986-01-15,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,Ethiopia\Kenya\Eritrea\Somalia\Uganda\Djibouti\Sudan,155788212,572000,2522,5.565653050272681,4446.9283418,3732.2949682000003,4588281.0
IAEA,International Atomic Energy Agency,1956-10-26,POINT(16.373064 48.20833),16.373064000000003,"48.20833, 16.373064",48.20833,Vienna,"Serbia and Montenegro\Ethiopia\Argentina\Bolivia\Saudi Arabia\Guatemala\Bosnia and Herzegovina\Kuwait\Jordan\Liberia\Tanzania\Monaco\Senegal\Yemen\Jamaica\Albania\United Arab Emirates\Azerbaijan\Nicaragua\Kenya\Tajikistan\Afghanistan\Bangladesh\Per\Seychelles\Norway\u""Cote dIvoire""\Benin\Cuba\Cameroon\Burkina Faso\Armenia\Dominican Republic\Ukraine\Ghana\Finland\Libya\Central African Republic\Mauritius\Liechtenstein\Belarus\Mali\Angola\South Africa\Sweden\Qatar\Malaysia\Uganda\Niger\Brazil\Panama\Congo\Democratic Republic of the\Costa Rica\Luxembourg\Ireland\Nigeria\Ecuador\Iran\Algeria\El Salvador\Marshall Islands\Chile\Belgium\Haiti\Sierra Leone\Georgia\Denmark\Namibia\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Iraq\Portugal\Uruguay\Lebanon\Uzbekistan\Spain\Colombia\Madagascar\Sudan\Netherlands\Venezuela\Indonesia\Iceland\Zambia\Zimbabwe\Kazakhstan\Philippines\Eritrea\Kyrgyzstan\Macedonia\Paraguay\Syria\Burma\Honduras\Singapore\Botswana\United Kingdom\Greece\Sri Lanka\Gabon",2298082004,8016702,13361,164.3095791639462,15232.592772100003,14733.57272796,3.095448405E12,"Canada\Lithuania\Ethiopia\Argentina\Bolivia\Burkina Faso\Bahrain\Saudi Arabia\Congo\Republic Of The\Japan\Guatemala\Kuwait\Holy See (Vatican City)\Liberia\Pakistan\Oman\Tanzania\Vietnam\Gabon\Monaco\Senegal\New Zealand\Yemen\Jamaica\Albania\United Arab Emirates\Uruguay\India\Azerbaijan\Madagascar\Lesotho\Kenya\Tajikistan\Turkey\Afghanistan\Bangladesh\Mauritania\Congo\Democratic Republic Of The\France\Slovakia\Per\Seychelles\Norway\Malawi\Benin\Cuba\Cameroon\Montenegro\Togo\China\Armenia\Dominican Republic\Ukraine\Ghana\Finland\Libya\Central African Republic\Mauritius\Liechtenstein\Belarus\Poland\Russia\Bulgaria\United States\Romania\Angola\Chad\South Africa\Cyprus\Sweden\Qatar\Malaysia\Austria\Latvia\Uganda\Niger\Brazil\Panama\Mali\Costa Rica\Luxembourg\Ireland\Pala\Nigeria\Ecuador\Czech Republic\Australia\Iran\Algeria\Slovenia\El Salvador\Jordan\Marshall Islands\Chile\Belgium\Haiti\Belize\Sierra Leone\Georgia\Mexico\Denmark\Philippines\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Iraq\Portugal\Estonia\Lebanon\Korea\South\Uzbekistan\Tunisia\Spain\Colombia\Burundi\Hungary\Italy\Sudan\Nepal\Malta\Netherlands\Bosnia And Herzegovina\Venezuela\Israel\Indonesia\Iceland\Zambia\Mozambique\Zimbabwe\Germany\Kazakhstan\u""Cote DIvoire""\Eritrea\Kyrgyzstan\Macedonia\Sri Lanka\Syria\Burma\Honduras\Egypt\Nicaragua\Singapore\Serbia\Botswana\United Kingdom\Greece\Paraguay\Namibia",6779867600,21069999,18997,227.61830426492503,62104.69717798,54428.08741579999,1.3063250544E8,Canada\Brazil\Kazakstan\Lithuania\Cambodia\Ethiopia\Argentina\Bolivia\Cameroon\Saudi Arabia\Slovenia\Guatemala\Jordan\Spain\Australia\Liberia\Netherlands\Paraguay\Jamaica\Tanzania\Monaco\New Zealand\Yemen\Pakistan\Albania\United Arab Emirates\Uruguay\India\Madagascar\Kenya\South Korea\Turkey\Afghanistan\Czech Republic\Mongolia\France\Slovakia\Per\Norway\Singapore\Montenegro\China\Armenia\Dominican Republic\Ukraine\Ghana\Indonesia\Libya\Cote dIvoire\Finland\United States\Liechtenstein\Vietnam\Mali\Russia\Bulgaria\Mauritius\Romania\Portugal\South Africa\Nicaragua\Sweden\Malaysia\Austria\Uganda\Hungary\Niger\Kuwait\Panama\Costa Rica\Luxembourg\Ireland\Nigeria\Ecuador\Bangladesh\Belarus\Iran\Algeria\El Salvador\Zaire\Marshall Islands\Chile\Belgium\Thailand\Haiti\Iraq\Sierra Leone\Denmark\Poland\Namibia\Croatia\Switzerland\Estonia\Lebanon\Uzbekistan\Tunisia\Colombia\Cyprus\Qatar\Italy\Sudan\Venezuela\Holy See\Israel\Iceland\Zambia\Senegal\Gabon\Zimbabwe\Germany\Philippines\Macedonia\Japan\Syria\Morocco\Myanmar\Mexico\Egypt\Cuba\Serbia\United Kingdom\Greece\Sri Lanka,5512320073,20081000,32338,184.86830444341794,51963.29737300001,48026.73191509999,1.2155405424E8
IBRD,International Bank for Reconstruction and Development,1944-07-22,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C.","East Timor\Sao Tome and Principe\Guinea-Bissa\Serbia and Montenegro\Cambodia\Ethiopia\Swaziland\Argentina\Bolivia\Bahamas\The\Turkmenistan\Bahrain\Saudi Arabia\Rwanda\Togo\Cape Verde\Guatemala\Bosnia and Herzegovina\Kuwait\Jordan\Dominica\Liberia\Maldives\Micronesia\Federated States of\Oman\Tanzania\Senegal\Yemen\Jamaica\Albania\Congo\Republic of the\United Arab Emirates\Azerbaijan\Nicaragua\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Tajikistan\Afghanistan\Bangladesh\Mauritania\Solomon Islands\San Marino\Somalia\Per\Laos\Seychelles\Norway\u""Cote dIvoire""\Benin\Cameroon\Saint Kitts and Nevis\Burkina Faso\Armenia\Dominican Republic\Ukraine\Ghana\Tonga\Finland\Libya\Central African Republic\Mauritius\Belarus\Mali\Angola\Chad\South Africa\Sweden\Qatar\Malaysia\Barbados\Uganda\Niger\Brazil\Guinea\Panama\Congo\Democratic Republic of the\Costa Rica\Luxembourg\Ireland\Pala\Nigeria\Ecuador\Brunei\Iran\Algeria\El Salvador\Marshall Islands\Chile\Belgium\Kiribati\Haiti\Belize\Sierra Leone\Georgia\Denmark\Namibia\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Grenada\Iraq\Portugal\Uruguay\Lebanon\Uzbekistan\Djibouti\Antigua and Barbuda\Spain\Colombia\Burundi\Fiji\Madagascar\Bhutan\Sudan\Vanuat\Netherlands\Suriname\Venezuela\Indonesia\Iceland\Zambia\Samoa\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Kazakhstan\Philippines\Eritrea\Kyrgyzstan\Macedonia\Paraguay\Guyana\Syria\Nepal\Burma\Honduras\Equatorial Guinea\Singapore\Botswana\United Kingdom\Gambia\The\Greece\Sri Lanka\Gabon\Comoros",2448528659,8618892,15678,212.49411244859027,22085.20305213001,20775.33369983,4.385057309E12,"Canada\Micronesia\Federated States Of\Guinea-Bissa\Lithuania\Cambodia\Ethiopia\Swaziland\Argentina\Bolivia\Bahamas\The\Burkina Faso\Turkmenistan\Bahrain\Saudi Arabia\Rwanda\Congo\Republic Of The\Japan\Cape Verde\Guatemala\Kuwait\Dominica\Liberia\Maldives\Pakistan\Oman\Tanzania\Vietnam\Saint Kitts And Nevis\Gabon\Senegal\New Zealand\Yemen\Jamaica\Albania\Samoa\United Arab Emirates\Uruguay\India\Azerbaijan\Madagascar\Lesotho\Saint Vincent And The Grenadines\Kenya\Tajikistan\Turkey\Afghanistan\Bangladesh\Mauritania\Solomon Islands\Saint Lucia\Congo\Democratic Republic Of The\Tonga\France\Slovakia\Somalia\Per\Laos\Seychelles\Norway\Malawi\Benin\Cameroon\Montenegro\Togo\China\Armenia\Dominican Republic\Ukraine\Ghana\Finland\Libya\Central African Republic\Mauritius\Belarus\Antigua And Barbuda\Poland\Russia\Bulgaria\United States\Romania\Angola\Chad\South Africa\Cyprus\Sweden\Qatar\Malaysia\Austria\Latvia\Uganda\Niger\Brazil\San Marino\Guinea\Panama\Mali\Costa Rica\Luxembourg\Ireland\Pala\Nigeria\Ecuador\Czech Republic\Brunei\Australia\Iran\Algeria\Slovenia\El Salvador\Tuval\Jordan\Marshall Islands\Chile\Belgium\Kiribati\Haiti\Belize\Sierra Leone\Georgia\Mexico\Denmark\Philippines\Sao Tome And Principe\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Grenada\Iraq\Portugal\Estonia\Kosovo\Equatorial Guinea\Lebanon\Korea\South\Uzbekistan\Tunisia\Djibouti\Timor-Leste\Spain\Colombia\Burundi\Fiji\Barbados\Hungary\Italy\Bhutan\Sudan\Nepal\Malta\Netherlands\Bosnia And Herzegovina\Suriname\Venezuela\Israel\Indonesia\Iceland\Zambia\Mozambique\Papua New Guinea\Zimbabwe\Germany\Vanuat\Kazakhstan\u""Cote DIvoire""\Eritrea\Kyrgyzstan\Macedonia\Sri Lanka\Guyana\Syria\Burma\Honduras\Egypt\Nicaragua\Singapore\Serbia\Botswana\United Kingdom\Trinidad And Tobago\Gambia\The\Greece\Paraguay\Namibia\Comoros",6851041977,21296379,20944,233.69297263797242,71745.75978759999,65123.1411017,1.334591626E8,Canada\Brazil\Sao Tome and Principe\Turkmenistan\Kazakstan\Lithuania\Cambodia\Ethiopia\Belize\Argentina\Bolivia\Cameroon\Burkina Faso\Bahrain\Saudi Arabia\Rwanda\Slovenia\Guatemala\Guinea\Jordan\Spain\Australia\Liberia\Netherlands\Paraguay\Jamaica\Oman\Tanzania\Gambia\Bahamas\New Zealand\Yemen\Pakistan\Albania\United Arab Emirates\Uruguay\India\Azerbaijan\Madagascar\Saint Vincent and the Grenadines\Kenya\South Korea\Tajikistan\Turkey\Afghanistan\Czech Republic\Eritrea\Solomon Islands\Saint Lucia\Mongolia\France\Slovakia\Somalia\Per\Laos\Seychelles\Norway\Malawi\Benin\Singapore\Montenegro\Saint Kitts and Nevis\Togo\Guinea-Bissa\China\Armenia\Antigua and Barbuda\Dominican Republic\Ukraine\Ghana\Tonga\Indonesia\Libya\Cote dIvoire\Finland\Central African Republic\United States\Vietnam\Mali\Russia\Bulgaria\Mauritius\Romania\Angola\Portugal\South Africa\Nicaragua\Sweden\Malaysia\Austria\Mozambique\Uganda\Hungary\Niger\Kuwait\Panama\Guyana\Costa Rica\Luxembourg\Cape Verde\Ireland\Nigeria\Ecuador\Bangladesh\Brunei\Belarus\Iran\Algeria\El Salvador\Zaire\Marshall Islands\Chile\Belgium\Thailand\Haiti\Iraq\Sierra Leone\Georgia\Denmark\Poland\Namibia\Moldova\Lesotho\Croatia\Kiribati\Switzerland\Grenada\Chad\Estonia\Equatorial Guinea\Lebanon\Uzbekistan\Tunisia\Djibouti\Timor-Leste\Dominica\Colombia\Burundi\Cyprus\Barbados\Qatar\Italy\Bhutan\Sudan\Nepal\Malta\Maldives\Suriname\Venezuela\Swaziland\Israel\Iceland\Zambia\Samoa\Senegal\Papua New Guinea\Gabon\Zimbabwe\Germany\Vanuat\Philippines\Mauritania\Kyrgyzstan\Macedonia\Trinidad and Tobago\Latvia\Japan\Syria\Morocco\Honduras\Myanmar\Mexico\Egypt\Serbia\Comoros\United Kingdom\Congo\Greece\Sri Lanka\Fiji\Botswana,5700838869,20980000,34846,240.54074000720325,77149.48316332998,71382.42557609997,1.3195127989999999E8
