area,PIB_par_hbt,government,name,car_code,memberships,nombre_appartenances,population,religion_principale,langue_principale,PIB_national,Soldats_2017,DepensesMilitairesPIB_2018,MortsGuerre_2018,Exportations_2018,Importations_2018
780580.0,345700.0,republican parliamentary democracy,Turkey,TR,AsDB\BIS\BSEC\CE\CCC\ECE\ECO\EBRD\EU\CERN\FAO\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\IDB\ANC\NATO\EN\OECD\OSCE\OIC\PCA\UN\UNCRO\UNESCO\UNIDO\UNIKOM\UNOMIG\UNHCR\UNRWA\UPU\WEU\WFTU\WHO\WIPO\WMO\WToO\WTrO,55,62484478,Muslim,Turkish,2.16008840446E13,512000,2.50435660854,436,604.5768426,409.2396987
43070.0,112800.0,constitutional monarchy,Denmark,DK,AfDB\AG\AsDB\BIS\CE\CBSS\CCC\ECE\EBRD\EIB\CERN\ESA\EU\FAO\G-9\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NC\NIB\ANC\NATO\EN\NSG\OECD\OSCE\PCA\UN\UNCRO\UNESCO\UNIDO\UNIKOM\UNMOGIP\UNMOT\UNOMIG\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UPU\WEU\WFTU\WHO\WIPO\WMO\WTrO\ZC,66,5249632,Protestant,Danish,5.921584896E11,15000,1.18141520744533,0,213.2677046,225.6951509
45100.0,12300.0,republic,Estonia,EW,BIS\CE\CBSS\CCC\ECE\EBRD\EU\FAO\IAEA\IBRD\ICAO\ICFTU\Interpol\IFRCS\IFC\ILO\IMO\IMF\IOC\ISO\ICRM\ITU\ANC\OSCE\PFP\UN\UNCRO\UNESCO\UPU\WEU\WHO\WIPO\WMO\WTrO,33,1459428,Protestant,Estonian,1.79509644E10,6000,2.05854468149193,0,444.5417479,378.5449357
1400.0,733.0,part of the Danish realm,Faroe Islands,FARX,,0,43857,Protestant,,3.2147181E7,0,0.0,0,268.0500777,230.063047
337030.0,92400.0,republic,Finland,SF,AfDB\AG\AsDB\BIS\CE\CBSS\CCC\ECE\EBRD\EIB\CERN\ESA\EU\FAO\G-9\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\NC\NIB\ANC\EN\NSG\OECD\OSCE\OAS\PFP\PCA\UN\UNCRO\UNESCO\UNFICYP\UNIDO\UNIFIL\UNIKOM\UNMOGIP\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UPU\WEU\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,69,5105230,Protestant,Finnish,4.71723252E11,25000,1.39852042457382,0,164.9134978,228.8720093
324220.0,106200.0,constitutional monarchy,Norway,N,AfDB\AsDB\BIS\CE\CBSS\CCC\ECE\EBRD\EFTA\CERN\ESA\FAO\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\NC\NIB\ANC\NATO\EN\NSG\OECD\OSCE\PCA\UN\UNAVEM-III\UNCRO\UNESCO\UNIDO\UNITAR\UNIFIL\MINURSO\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UPU\WEU\WHO\WIPO\WMO\WTrO\ZC,63,4383807,Protestant,Norwegian,4.655603034E11,23000,1.60866909235229,0,202.7898044,251.8105876
449964.0,177300.0,constitutional monarchy,Sweden,S,AfDB\AG\AsDB\BIS\CE\CBSS\CCC\ECE\EBRD\EIB\CERN\ESA\EU\FAO\G-6\G-9\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\NC\NIB\ANC\EN\NSG\OECD\OSCE\PFP\PCA\UN\UNAVEM-III\UNCRO\UNESCO\UNIDO\UNITAR\UNIKOM\UNMOGIP\UNOMIG\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UPU\WEU\WFTU\WHO\WIPO\WMO\WTrO\ZC,70,8900954,Protestant,Swedish,1.5781391442E12,30000,1.04291444103842,0,190.9138542,234.0683517
1.9,788.0,constitutional monarchy,Monaco,MC,ACCT\ECE\IAEA\ICAO\Interpol\IFRCS\IMO\Inmarsat\IOC\ICRM\ITU\Intelsat\OSCE\UN\UNESCO\UPU\WHO\WIPO,17,31719,Roman Catholic,French,2.4994572E7,0,0.0,0,0.0,0.0
6.5,205.0,dependent territory of the UK,Gibraltar,GBZ,Interpol,0,28765,Muslim,,5896825.0,0,0.0,0,118.0173092,176.7195187
194.0,0.0,British crown dependency,Guernsey,GBG,,0,62920,,,0.0,0,0.0,0,0.0,0.0
