abbrev_org,name_org,date de création,GPS_siege,longitude_siege,point_palladio,latitude_siege,nom_siege,members,nombre_pays_membres,population_org,soldats_org,mortsGuerre_org,depensesMilitairesPIB_org,exportations_org,importations_org,superficie_org
UNIDO,United Nations Industrial Development Organization,1966-11-17,POINT(16.373064 48.20833),16.373064000000003,"48.20833, 16.373064",48.20833,Vienna,East Timor\Cambodia\Swaziland\Argentina\Bolivia\Turkmenistan\Bahrain\Rwanda\Togo\Japan\Guatemala\Kuwait\Jordan\Dominica\Liberia\Maldives\Pakistan\Oman\Tanzania\Monaco\New Zealand\Jamaica\Albania\Congo\Republic of the\United Arab Emirates\India\Nicaragua\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Afghanistan\Bangladesh\Mauritania\Somalia\Per\Laos\Cuba\Cameroon\Saint Kitts and Nevis\Burkina Faso\China\Armenia\Dominican Republic\Ghana\Tonga\Libya\Central African Republic\Mauritius\Mali\Angola\Chad\South Africa\Qatar\Malaysia\Barbados\Uganda\Brazil\Guinea\Panama\Congo\Democratic Republic of the\Costa Rica\Luxembourg\Nigeria\Ecuador\Iran\El Salvador\Chile\Haiti\Belize\Sierra Leone\Georgia\Mexico\Namibia\Moldova\Morocco\Croatia\Mongolia\Thailand\Switzerland\Grenada\Korea\North\Iraq\Portugal\Uruguay\Korea\South\Tunisia\Djibouti\Spain\Colombia\Burundi\Fiji\Madagascar\Italy\Vanuat\Netherlands\Suriname\Venezuela\Israel\Indonesia\Zambia\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Philippines\Eritrea\Kyrgyzstan\Macedonia\Paraguay\Guyana\Syria\Burma\Honduras\Egypt\Botswana\United Kingdom\Gambia\The\Greece\Sri Lanka\Gabon\Comoros,128,4999337923,14942612,11643,179.38474014854583,17622.588145350004,16052.13471573,3.12099836E12
UNITAR,United Nations Institute for Training and Research,1963-12-11,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva,Japan\Kuwait\Pakistan\Monaco\China\Ghana\United States\South Africa\Brazil\Nigeria\Mexico\Morocco\Switzerland\Netherlands\Egypt\United Kingdom,16,2562850046,8045000,487,28.44824378888375,2090.652205,2114.5865633999997,3.5071459E10
UNIFIL,United Nations Interim Force in Lebanon,1978-03-19,POINT(35.134166666 33.12),35.134166666,"33.12, 35.134166666",33.12,Naqoura,India\Ghana\Italy,3,1143885116,3069000,1374,4.901202781855505,474.5822737,479.3613677,3.82828E9
UNIKOM,United Nations Iraq-Kuwait Observation Mission,1991-04-09,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
UNMOGIP,United Nations Military Observer Group in India and Pakistan,1948-08-13,POINT(73.036944444 33.698888888),73.036944444,"33.698888888, 73.036944444",33.698888888,Islamabad,Chile\Croatia\Uruguay\Korea\South\Italy,6,130375715,615920,0,8.19152016787691,625.1735451,582.9780944199999,1.389422E9
MINURSO,United Nations Mission for the Referendum in Western Sahara,1991-04-29,POINT(-13.2 27.15),-13.2,"27.15, -13.2",27.15,Laayoune,Argentina\Kenya\Bangladesh\Malaysia\Guinea\Ireland\Nigeria\El Salvador\Croatia\Mongolia\Uruguay\Greece\Sri Lanka,13,434286375,1183920,128,20.768788163494357,1796.6848949000002,1790.11204102,7.078663E9
UNMIH,United Nations Mission in Haiti,1993-09-23,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
UNMOT,United Nations Mission of Observers in Tajikistan,1994-12-16,POINT(68.786388888 38.573055555),68.786388888,"38.573055555, 68.786388888",38.573055555,Dushanbe,Uruguay,0,3399237,24920,0,2.0407280132366,127.7291149,89.84938542,1.7622E8
UNOMIG,United Nations Observer Mission in Georgia,,POINT(41.015277777 43.003333333),41.015277777,"43.003333333, 41.015277777",43.003333333,Sukhumi,Jordan\Pakistan\Albania\Bangladesh\United States\Switzerland\Uruguay\Korea\South\Indonesia\Egypt\United Kingdom\Greece,13,1047657282,3759420,1294,24.11432961373227,1459.5586896000002,1461.0389629200001,1.4314046E10
UNOMIL,United Nations Observer Mission in Liberia,1993-09-22,POINT(-10.804722222 6.310555555),-10.804722222,"6.310555555, -10.804722222",6.310555555,Monrovia,,0,0,0,0,0.0,0.0,0.0,0.0
